"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Alien Invasion","RG","R","16686","3.15","3994","3.41","16664","68.6%","51.1%","2814","51.6%","3936","50.1%","6750","50.7%","9915","51.4%","-0.7pp"
"Ant-Man, Colony Commander","UG","U","71283","5.14","10603","7.20","34354","52.3%","53.2%","6040","53.2%","8791","53.9%","14831","53.6%","19584","52.8%","0.8pp"
"Ares, God of War","BR","R","18172","3.32","4417","3.81","18719","69.0%","53.3%","3230","56.5%","5000","56.6%","8230","56.5%","10627","50.8%","5.7pp"
"Armor Wars","UR","R","30130","5.10","4287","7.28","7230","27.6%","48.5%","1233","45.9%","1843","49.6%","3076","48.1%","4155","48.7%","-0.6pp"
"The Astonishing Ant-Man","UG","R","16960","3.12","4875","3.41","21772","70.8%","54.9%","3861","59.8%","5854","54.8%","9715","56.8%","12145","53.3%","3.5pp"
"Avengers: Under Siege","BR","R","14624","2.63","5717","2.64","29407","80.4%","56.9%","5060","63.9%","7896","63.8%","12956","63.8%","16456","51.4%","12.5pp"
"Beast, Erudite Aerialist","UG","U","73021","4.95","8535","7.43","24927","47.3%","51.1%","4247","48.4%","6317","50.0%","10564","49.4%","14434","52.1%","-2.7pp"
"Black Panther, Vanguard","WG","U","54896","3.89","12489","4.87","58427","73.9%","55.4%","9872","54.1%","15106","55.6%","24978","55.0%","33706","55.5%","-0.5pp"
"Black Widow, Double Agent","WB","U","66808","4.79","12070","6.38","45227","60.1%","54.0%","7819","54.0%","12511","56.1%","20330","55.3%","25075","52.9%","2.4pp"
"Bullseye, Death Dealer","BR","U","65048","4.36","10264","5.97","44919","71.1%","52.9%","7919","53.2%","11926","54.8%","19845","54.2%","25152","52.0%","2.2pp"
"Captain America, Living Legend","WU","U","51550","3.66","15009","4.32","77983","81.1%","56.6%","13520","57.2%","22374","57.8%","35894","57.5%","42377","55.9%","1.7pp"
"Cloak and Dagger, Entwined","WB","R","14711","2.69","6268","2.70","31885","78.8%","57.4%","5510","60.6%","9148","62.3%","14658","61.6%","17398","53.8%","7.8pp"
"The Coming of Galactus","BG","M","4952","1.85","2793","1.75","15774","88.4%","56.8%","2778","61.9%","4337","63.5%","7115","62.9%","8661","51.7%","11.1pp"
"Daredevil, Man Without Fear","WR","R","12756","2.38","5792","2.39","30265","82.4%","55.7%","5190","56.7%","8307","59.3%","13497","58.3%","16859","53.7%","4.5pp"
"Ghost, Spectral Saboteur","UB","U","78245","5.46","9214","8.32","24055","42.1%","51.5%","4254","50.8%","6404","53.3%","10658","52.3%","13442","50.9%","1.4pp"
"Hulk, Gamma Goliath","RG","U","66041","4.72","9397","6.64","34974","59.8%","53.8%","5852","52.7%","8566","56.7%","14418","55.0%","20715","52.8%","2.2pp"
"Iron Man, Master of Machines","UR","U","69692","5.14","11020","6.85","39754","57.6%","53.3%","6745","53.9%","10829","55.5%","17574","54.9%","22380","51.9%","3.0pp"
"Kang, Temporal Tyrant","UB","U","68092","4.91","11740","6.61","42704","58.9%","52.9%","7106","53.8%","13030","56.1%","20136","55.3%","22870","50.7%","4.6pp"
"Killmonger, Scourge of Wakanda","BG","U","55175","3.94","15132","4.58","74974","77.0%","56.9%","12726","58.2%","20348","61.7%","33074","60.3%","42043","54.1%","6.3pp"
"King T'Challa","WU","M","4107","1.49","3239","1.46","19541","94.0%","56.9%","3301","60.4%","5734","60.6%","9035","60.6%","10555","53.8%","6.7pp"
"The Kingpin of Crime","WB","R","21536","3.70","5509","4.27","22206","64.5%","54.7%","3846","55.9%","6364","57.3%","10210","56.8%","12154","52.9%","3.9pp"
"Madame Hydra","BR","U","65586","4.83","9313","6.58","34003","61.0%","50.0%","5758","49.7%","9268","49.7%","15026","49.7%","19182","50.1%","-0.4pp"
"The Mighty Thor, Jane Foster","WU","R","11007","2.03","6708","1.98","38514","89.3%","57.5%","6914","60.7%","11199","60.1%","18113","60.3%","20722","55.1%","5.2pp"
"Moon Girl and Devil Dinosaur","UG","R","19193","3.47","4904","3.88","19643","63.5%","54.2%","3341","55.7%","5521","54.6%","8862","55.0%","10865","53.5%","1.6pp"
"The Ruinous Wrecking Crew","BR","R","15566","2.72","5787","2.80","30089","81.8%","56.1%","5212","59.6%","8139","62.4%","13351","61.3%","16807","52.0%","9.3pp"
"Scientist Supreme of A.I.M.","UB","R","32002","5.31","4939","7.57","7772","25.5%","51.2%","1355","51.4%","2299","51.6%","3654","51.6%","4124","51.0%","0.6pp"
"The Serpent Society","BG","R","22411","3.90","4470","4.80","16527","58.8%","54.7%","2854","55.3%","4211","57.9%","7065","56.8%","9506","53.0%","3.8pp"
"Speedball, New Warrior","UR","U","80264","5.71","10840","8.25","25671","38.5%","51.4%","4594","50.3%","6400","49.9%","10994","50.1%","14680","52.4%","-2.3pp"
"Spider-Man, To the Rescue","WG","U","51574","3.30","11714","4.34","64578","88.0%","55.4%","11188","53.6%","16287","55.5%","27475","54.7%","37077","55.8%","-1.1pp"
"Spider-Woman, Secret Agent","WU","U","40392","2.73","16058","3.19","98843","95.3%","57.3%","17094","55.8%","27768","60.7%","44862","58.8%","54149","56.0%","2.8pp"
"Storm, Windrider","WG","R","12030","2.24","6038","2.19","33039","85.6%","56.6%","5608","58.3%","8928","60.7%","14536","59.7%","18622","54.1%","5.6pp"
"The Super Hero Civil War","WR","R","8445","1.52","6873","1.49","43973","95.2%","60.1%","7657","66.4%","12116","71.0%","19773","69.2%","24203","52.6%","16.7pp"
"Taskmaster, Mercenary Mimic","UB","R","20785","3.58","4850","4.34","18647","62.6%","52.8%","3176","51.3%","5576","55.8%","8752","54.1%","10023","51.6%","2.6pp"
"Thanos, the Mad Titan","WBR","M","9161","3.24","2080","3.80","7141","55.8%","52.7%","1196","54.4%","2025","58.9%","3221","57.2%","3977","48.8%","8.4pp"
"Thor Odinson","WR","U","63558","4.60","8879","6.44","30380","55.8%","52.0%","5101","49.7%","7619","53.1%","12720","51.7%","17782","52.2%","-0.5pp"
"Titania, Rugged Rumbler","BG","U","58415","3.86","10181","5.23","51764","81.1%","54.4%","9150","56.5%","13566","55.8%","22716","56.1%","29301","53.0%","3.1pp"
"U.S.Agent, John Walker","WB","U","51964","3.34","14546","4.23","80930","88.5%","55.9%","13843","55.4%","22049","57.9%","35892","56.9%","45134","55.1%","1.8pp"
"Vision Quest","UR","R","20529","3.59","7444","3.73","34149","72.1%","56.8%","5699","56.4%","9721","63.5%","15420","60.8%","18732","53.5%","7.4pp"
"War Machine, Legacy of Iron","WR","U","61371","3.99","9747","5.57","43506","72.4%","52.5%","7637","50.8%","10714","52.5%","18351","51.8%","25218","53.0%","-1.2pp"
"Winter Soldier, Icy Assassin","WB","R","23509","4.04","5497","4.79","19758","57.4%","55.1%","3524","58.3%","5282","58.6%","8806","58.5%","11041","52.5%","6.0pp"
"Wolverine, Fierce Fighter","RG","R","12244","2.19","5909","2.11","33258","85.9%","58.1%","5648","63.1%","8403","64.3%","14051","63.9%","19202","53.9%","10.0pp"
"Worlds Within Worlds","UG","R","39336","6.51","5018","9.90","617","2.0%","47.6%","104","","138","","242","","375","",""
"A.I.M. Synthoids","","C","224222","6.83","29033","9.99","71140","39.3%","52.8%","13345","50.1%","18284","53.9%","31629","52.3%","39511","53.1%","-0.8pp"
"Arc Reactor","","R","33657","5.59","3711","8.80","1818","7.9%","46.2%","267","","485","","752","42.4%","1065","48.8%","-6.4pp"
"Captain America's Shield","","R","8173","1.44","5379","1.43","32363","96.7%","54.6%","5839","54.6%","8589","58.7%","14428","57.0%","17922","52.7%","4.3pp"
"Cosmic Cube","","M","3790","1.34","3043","1.32","19079","97.8%","57.3%","3305","60.0%","5223","62.6%","8528","61.6%","10543","53.8%","7.8pp"
"Dependable Quinjet","","C","220747","6.59","27031","9.72","56355","33.2%","53.3%","10166","52.9%","14252","54.6%","24418","53.9%","31921","52.9%","1.0pp"
"H.E.R.B.I.E. Scout Unit","","C","181762","4.72","42985","6.38","233772","84.9%","56.7%","40284","55.9%","64306","58.9%","104590","57.7%","129388","55.8%","1.9pp"
"Iron Man Armor","","M","3683","1.29","2864","1.29","18035","98.1%","55.9%","3080","56.1%","4832","60.9%","7912","59.0%","10118","53.5%","5.5pp"
"S.H.I.E.L.D. Helicarrier","","U","92485","6.87","12220","9.94","18043","23.2%","55.3%","3113","53.9%","4774","58.5%","7887","56.7%","10157","54.3%","2.4pp"
"Super-Adaptoid","","R","11161","1.97","5006","2.10","30004","94.3%","55.2%","5561","56.9%","7912","57.2%","13473","57.1%","16640","53.6%","3.5pp"
"The Ten Rings","","M","14509","4.71","1852","7.11","1923","16.9%","52.0%","291","","523","49.3%","814","49.5%","1111","53.8%","-4.3pp"
"Ultron, Artificial Malevolence","","M","5450","1.93","2277","1.96","11363","81.3%","52.6%","2099","52.6%","3057","53.9%","5156","53.4%","6276","51.8%","1.5pp"
"Ultron Drone","","C","223739","6.83","26809","10.18","53552","31.8%","52.8%","9318","50.4%","14242","55.6%","23560","53.6%","30072","52.2%","1.4pp"
"Vibranium Energy Daggers","","C","226725","7.41","21172","11.34","18189","13.7%","50.3%","3207","48.7%","4625","51.9%","7832","50.6%","10342","50.1%","0.5pp"
"The Vision","","R","6840","1.21","5893","1.21","37128","99.0%","56.2%","6348","58.6%","10614","58.8%","16962","58.8%","20566","53.9%","4.9pp"
"Viv Vision, Teen Synthezoid","","U","69520","4.39","9096","6.57","39778","70.0%","53.3%","6984","51.3%","10465","54.8%","17449","53.4%","22430","53.3%","0.1pp"
"A.I.M. Labs","","C","111703","6.25","19141","8.85","70948","58.7%","54.9%","12822","57.1%","19408","55.3%","32230","56.0%","38716","53.9%","2.0pp"
"Asgardian Citadel","","C","108683","5.90","17450","8.48","70945","64.0%","55.5%","12912","58.2%","16865","54.8%","29777","56.3%","41169","55.0%","1.2pp"
"Avengers Hangar","","C","107143","5.61","20894","7.94","103141","76.7%","57.0%","18893","58.8%","26548","55.9%","45441","57.1%","57700","57.0%","0.1pp"
"Avengers Tower","","U","70787","4.41","16269","5.82","92624","87.1%","58.3%","16739","59.6%","23504","60.2%","40243","59.9%","52385","57.1%","2.9pp"
"Baxter Building","","U","75538","4.70","15718","6.46","87110","87.0%","56.1%","14905","55.5%","22743","58.0%","37648","57.0%","49469","55.4%","1.6pp"
"Birnin Zana Plaza","","C","109945","5.96","18592","8.52","80688","68.1%","56.0%","14624","58.2%","18796","54.4%","33420","56.1%","47269","55.9%","0.1pp"
"Castle Doom","","R","28554","4.60","4346","6.42","12486","47.1%","51.3%","2146","50.0%","3329","53.4%","5475","52.1%","7012","50.6%","1.5pp"
"Dark Fortress","","R","30285","4.34","4841","6.34","18713","62.0%","53.8%","3452","55.2%","4781","54.8%","8233","55.0%","10480","52.8%","2.2pp"
"Fisk Tower","","C","111633","6.25","18969","8.91","69859","58.0%","55.1%","12888","57.2%","17605","54.3%","30493","55.5%","39366","54.7%","0.8pp"
"Gathering Place","","R","29289","4.10","5414","5.87","23520","69.2%","55.2%","4324","55.7%","5539","55.8%","9863","55.7%","13658","54.8%","0.9pp"
"Gleaming Bastion","","R","28437","3.90","6126","5.44","29686","76.1%","56.4%","5264","57.3%","7790","56.8%","13054","57.0%","16631","55.9%","1.1pp"
"Hell's Kitchen","","C","110733","6.31","16052","8.99","61164","60.7%","54.5%","11064","56.0%","15511","53.9%","26575","54.8%","34589","54.2%","0.5pp"
"Hidden Lair","","R","30477","4.32","5552","6.20","21248","60.9%","54.4%","3825","56.4%","5782","56.3%","9607","56.3%","11641","52.8%","3.5pp"
"Los Diablos Missile Base","","C","110319","6.28","16394","8.99","63389","60.9%","55.6%","11284","57.0%","14949","54.8%","26233","55.7%","37157","55.5%","0.2pp"
"Pym Technologies","","C","110933","6.15","18815","8.69","74298","62.0%","55.9%","13843","57.9%","18664","55.4%","32507","56.5%","41792","55.4%","1.1pp"
"Stark Industries","","C","110075","6.14","18109","8.76","69897","61.0%","55.0%","12678","57.1%","18251","55.0%","30929","55.8%","38968","54.3%","1.6pp"
"Subterranean Cavern","","C","112422","6.44","18195","9.04","70673","60.9%","55.9%","12861","58.1%","17478","54.5%","30339","56.0%","40335","55.8%","0.2pp"
"Surveillance Room","","C","213150","5.82","35810","8.42","189173","83.2%","55.9%","34496","55.7%","48109","56.6%","82605","56.2%","106572","55.6%","0.6pp"
"Training Compound","","R","30557","4.38","4955","6.36","19330","62.0%","55.5%","3513","56.2%","4475","55.0%","7988","55.5%","11343","55.4%","0.1pp"
"Villainous Hideout","","U","78897","5.16","12677","7.30","60587","75.6%","55.1%","10878","56.9%","16105","57.8%","26983","57.4%","33606","53.3%","4.1pp"
"Archangel of Thune","W","M","314","1.56","196","","1175","93.9%","55.3%","215","","311","","526","56.3%","664","54.7%","1.6pp"
"Concerted Effort","W","M","892","4.04","125","","211","26.9%","","39","","53","","92","","119","",""
"Don't Move","W","M","720","3.05","178","","833","74.8%","55.7%","131","","207","","338","","497","",""
"Ephemerate","W","M","883","3.81","173","","666","64.2%","52.7%","98","","176","","274","","393","",""
"Final Showdown","W","M","526","2.19","231","2.30","1303","86.3%","59.6%","247","","373","","620","66.0%","683","53.7%","12.2pp"
"Light of Promise","W","M","1289","5.56","125","","65","8.6%","","16","","15","","31","","34","",""
"Path to Exile","W","M","464","2.05","209","2.23","1257","92.3%","57.2%","225","","354","","579","60.4%","678","54.4%","6.0pp"
"Return to the Ranks","W","M","1207","5.06","144","","136","14.9%","","19","","39","","58","","78","",""
"Righteous Fury","W","M","702","2.93","161","","693","69.6%","57.3%","112","","183","","295","","397","",""
"Steelshaper's Gift","W","M","1305","5.56","147","","96","10.2%","","23","","17","","40","","56","",""
"Teferi's Protection","W","M","910","3.96","126","","346","47.1%","","50","","95","","145","","203","",""
"Counterspell","U","M","728","3.21","216","3.78","1199","85.9%","57.1%","207","","337","","544","59.2%","656","55.5%","3.7pp"
"Cyberdrive Awakener","U","M","671","3.10","167","","615","60.7%","50.1%","102","","160","","262","","354","",""
"Dig Through Time","U","M","816","3.54","213","4.23","945","69.6%","52.9%","181","","263","","444","","501","53.9%",""
"Harbinger of the Seas","U","M","1371","5.70","165","","34","3.2%","","7","","10","","17","","17","",""
"Lord of Atlantis","U","M","1239","4.99","182","","209","18.4%","","35","","64","","99","","111","",""
